term,count,tf
termpaper,4,0.007462686567164179
political,8,0.014925373134328358
science,4,0.007462686567164179
africa,12,0.022388059701492536
termpapers,1,0.0018656716417910447
term,2,0.0037313432835820895
papers,2,0.0037313432835820895
paper,6,0.011194029850746268
essay,1,0.0018656716417910447
theme,1,0.0018656716417910447
thesis,2,0.0037313432835820895
book,1,0.0018656716417910447
report,1,0.0018656716417910447
study,4,0.007462686567164179
critical,1,0.0018656716417910447
analysis,2,0.0037313432835820895
subject,1,0.0018656716417910447
index,1,0.0018656716417910447
anthropology,1,0.0018656716417910447
architecture,1,0.0018656716417910447
art,1,0.0018656716417910447
black,2,0.0037313432835820895
studies,3,0.005597014925373134
business,1,0.0018656716417910447
ecology,1,0.0018656716417910447
economics,1,0.0018656716417910447
education,1,0.0018656716417910447
film,1,0.0018656716417910447
healthcare,1,0.0018656716417910447
history,4,0.007462686567164179
law,1,0.0018656716417910447
linguistics,1,0.0018656716417910447
literature,2,0.0037313432835820895
mass,1,0.0018656716417910447
media,1,0.0018656716417910447
medicine,2,0.0037313432835820895
music,1,0.0018656716417910447
philosophy,1,0.0018656716417910447
psychology,1,0.0018656716417910447
religion,1,0.0018656716417910447
shakespeare,1,0.0018656716417910447
sociology,1,0.0018656716417910447
sports,1,0.0018656716417910447
recreation,1,0.0018656716417910447
urban,1,0.0018656716417910447
women,2,0.0037313432835820895
specific,2,0.0037313432835820895
click,2,0.0037313432835820895
catalog,1,0.0018656716417910447
button,1,0.0018656716417910447
title,2,0.0037313432835820895
description,1,0.0018656716417910447
yr,1,0.0018656716417910447
written,1,0.0018656716417910447
pgs,1,0.0018656716417910447
pages,1,0.0018656716417910447
fn,1,0.0018656716417910447
footnotes,1,0.0018656716417910447
sources,1,0.0018656716417910447
price,1,0.0018656716417910447
international,3,0.005597014925373134
relief,1,0.0018656716417910447
nations,4,0.007462686567164179
discusses,5,0.009328358208955223
drought,1,0.0018656716417910447
struck,1,0.0018656716417910447
government,6,0.011194029850746268
policies,3,0.005597014925373134
aid,4,0.007462686567164179
effect,3,0.005597014925373134
importance,2,0.0037313432835820895
oil,4,0.007462686567164179
production,2,0.0037313432835820895
economy,3,0.005597014925373134
nigeria,14,0.026119402985074626
proposal,1,0.0018656716417910447
accomplish,1,0.0018656716417910447
view,1,0.0018656716417910447
southwestern,1,0.0018656716417910447
review,2,0.0037313432835820895
effects,1,0.0018656716417910447
european,2,0.0037313432835820895
civilization,1,0.0018656716417910447
culture,3,0.005597014925373134
apartheid,13,0.024253731343283583
south,14,0.026119402985074626
examines,4,0.007462686567164179
roots,1,0.0018656716417910447
system,3,0.005597014925373134
defining,1,0.0018656716417910447
persons,1,0.0018656716417910447
color,1,0.0018656716417910447
struggle,1,0.0018656716417910447
independence,3,0.005597014925373134
creation,2,0.0037313432835820895
diversity,1,0.0018656716417910447
comparative,1,0.0018656716417910447
