term,count,tf
termpaper,4,0.0023952095808383233
political,29,0.017365269461077845
science,5,0.0029940119760479044
history,14,0.008383233532934131
termpapers,1,0.0005988023952095808
term,2,0.0011976047904191617
papers,2,0.0011976047904191617
paper,5,0.0029940119760479044
essay,1,0.0005988023952095808
theme,1,0.0005988023952095808
thesis,1,0.0005988023952095808
book,1,0.0005988023952095808
report,1,0.0005988023952095808
study,6,0.003592814371257485
critical,2,0.0011976047904191617
analysis,25,0.014970059880239521
subject,2,0.0011976047904191617
index,1,0.0005988023952095808
anthropology,1,0.0005988023952095808
architecture,1,0.0005988023952095808
art,1,0.0005988023952095808
black,2,0.0011976047904191617
studies,4,0.0023952095808383233
business,3,0.0017964071856287425
ecology,1,0.0005988023952095808
economics,4,0.0023952095808383233
education,3,0.0017964071856287425
film,1,0.0005988023952095808
healthcare,2,0.0011976047904191617
law,1,0.0005988023952095808
linguistics,1,0.0005988023952095808
literature,1,0.0005988023952095808
mass,1,0.0005988023952095808
media,4,0.0023952095808383233
medicine,1,0.0005988023952095808
music,1,0.0005988023952095808
philosophy,1,0.0005988023952095808
psychology,1,0.0005988023952095808
religion,1,0.0005988023952095808
shakespeare,1,0.0005988023952095808
sociology,1,0.0005988023952095808
sports,1,0.0005988023952095808
recreation,1,0.0005988023952095808
urban,1,0.0005988023952095808
women,1,0.0005988023952095808
specific,3,0.0017964071856287425
click,2,0.0011976047904191617
catalog,1,0.0005988023952095808
button,1,0.0005988023952095808
title,2,0.0011976047904191617
description,2,0.0011976047904191617
yr,1,0.0005988023952095808
written,1,0.0005988023952095808
pgs,1,0.0005988023952095808
pages,1,0.0005988023952095808
fn,1,0.0005988023952095808
footnotes,1,0.0005988023952095808
sources,1,0.0005988023952095808
price,1,0.0005988023952095808
strengths,2,0.0011976047904191617
weaknesses,2,0.0011976047904191617
democracies,1,0.0005988023952095808
authoritarian,2,0.0011976047904191617
powers,5,0.0029940119760479044
wartime,1,0.0005988023952095808
views,3,0.0017964071856287425
plato,2,0.0011976047904191617
socrates,1,0.0005988023952095808
theories,2,0.0011976047904191617
war,8,0.004790419161676647
contemporary,2,0.0011976047904191617
strategies,2,0.0011976047904191617
participation,1,0.0005988023952095808
populace,1,0.0005988023952095808
democratic,4,0.0023952095808383233
governments,5,0.0029940119760479044
vs,1,0.0005988023952095808
government,2,0.0011976047904191617
integrates,1,0.0005988023952095808
philosophical,3,0.0017964071856287425
arguments,1,0.0005988023952095808
aristotle,1,0.0005988023952095808
conditions,1,0.0005988023952095808
greece,1,0.0005988023952095808
soviet,3,0.0017964071856287425
union,1,0.0005988023952095808
comparison,8,0.004790419161676647
constitution,5,0.0029940119760479044
legislature,2,0.0011976047904191617
british,1,0.0005988023952095808
parliament,2,0.0011976047904191617
parliamentary,1,0.0005988023952095808
procedures,1,0.0005988023952095808
abstract,1,0.0005988023952095808
separation,2,0.0011976047904191617
examines,16,0.009580838323353293
system,4,0.0023952095808383233
checks,1,0.0005988023952095808
balances,1,0.0005988023952095808
compares,4,0.0023952095808383233
britain,1,0.0005988023952095808
existent,1,0.0005988023952095808
american,13,0.007784431137724551
foreign,7,0.004191616766467066
domestic,3,0.0017964071856287425
policy,4,0.0023952095808383233
historic,1,0.0005988023952095808
account,4,0.0023952095808383233
ideologies,1,0.0005988023952095808
facism,2,0.0011976047904191617
democracy,5,0.0029940119760479044
noting,5,0.0029940119760479044
tactics,1,0.0005988023952095808
psychological,2,0.0011976047904191617
appeal,1,0.0005988023952095808
hitler,2,0.0011976047904191617
mussolini,1,0.0005988023952095808
winning,1,0.0005988023952095808
masses,1,0.0005988023952095808
fall,2,0.0011976047904191617
monarchy,1,0.0005988023952095808
discusses,8,0.004790419161676647
divine,1,0.0005988023952095808
king,2,0.0011976047904191617
loss,1,0.0005988023952095808
power,5,0.0029940119760479044
responsibility,1,0.0005988023952095808
lower,1,0.0005988023952095808
classes,1,0.0005988023952095808
church,1,0.0005988023952095808
england,4,0.0023952095808383233
relation,2,0.0011976047904191617
european,1,0.0005988023952095808
