term,count,tf
termpaper,4,0.007590132827324478
economics,8,0.015180265654648957
micro,2,0.003795066413662239
termpapers,1,0.0018975332068311196
term,2,0.003795066413662239
papers,1,0.0018975332068311196
paper,5,0.009487666034155597
essay,1,0.0018975332068311196
theme,1,0.0018975332068311196
thesis,1,0.0018975332068311196
book,1,0.0018975332068311196
report,1,0.0018975332068311196
study,3,0.0056925996204933585
critical,1,0.0018975332068311196
analysis,8,0.015180265654648957
subject,1,0.0018975332068311196
index,2,0.003795066413662239
anthropology,1,0.0018975332068311196
architecture,1,0.0018975332068311196
art,1,0.0018975332068311196
black,1,0.0018975332068311196
studies,3,0.0056925996204933585
business,2,0.003795066413662239
ecology,1,0.0018975332068311196
education,1,0.0018975332068311196
film,1,0.0018975332068311196
healthcare,1,0.0018975332068311196
history,2,0.003795066413662239
law,1,0.0018975332068311196
linguistics,1,0.0018975332068311196
literature,1,0.0018975332068311196
mass,1,0.0018975332068311196
media,1,0.0018975332068311196
medicine,1,0.0018975332068311196
music,1,0.0018975332068311196
philosophy,1,0.0018975332068311196
political,1,0.0018975332068311196
science,2,0.003795066413662239
psychology,1,0.0018975332068311196
religion,1,0.0018975332068311196
shakespeare,1,0.0018975332068311196
sociology,1,0.0018975332068311196
sports,1,0.0018975332068311196
recreation,1,0.0018975332068311196
urban,1,0.0018975332068311196
women,1,0.0018975332068311196
specific,1,0.0018975332068311196
click,2,0.003795066413662239
catalog,1,0.0018975332068311196
button,1,0.0018975332068311196
title,2,0.003795066413662239
description,1,0.0018975332068311196
yr,1,0.0018975332068311196
written,1,0.0018975332068311196
pgs,1,0.0018975332068311196
pages,1,0.0018975332068311196
fn,1,0.0018975332068311196
footnotes,1,0.0018975332068311196
sources,1,0.0018975332068311196
price,3,0.0056925996204933585
duesenberry,1,0.0018975332068311196
friedman,1,0.0018975332068311196
consumption,2,0.003795066413662239
function,1,0.0018975332068311196
comparative,1,0.0018975332068311196
analyzing,1,0.0018975332068311196
tobacco,1,0.0018975332068311196
prices,4,0.007590132827324478
